Year,SongTitle,IntroLength,SongLength,Ranking50,Genre,Language,Ranking
2022,She Had Me At Heads Carolina,11,206,0,Country,English,46
2022,Vegas,17,183,0,Hiphop,English,47
2022,Pushing P,11,136,0,Hiphop,English,48
2022,Buy Dirt,4,167,0,Country,English,49
2022,I Hate U,11,174,0,RnB/Soul,English,50
2022,Boyfriend,6,153,1,Pop,English,51
2022,Glimpse Of Us,16,233,1,Pop,English,52
2022,Surface Pressure,5,202,1,Pop,English,53
2022,Fall In Love,15,232,1,Country,English,54
2022,Love Nwantiti(Ah Ah Ah),9,146,1,AfroPop,"English, Igbo",55
2022,Super Freaky Girl,11,171,1,Hiphop,English,56
2022,Hrs And Hrs,19,204,1,RnB/Soul,English,57
2022,Sand In My Boots,9,202,1,Country,English,58
2022,MAMIII,15,226,1,LatinPop,Spanish,59
2022,Knife Talk,0,243,1,Hiphop,English,60
2022,AA,11,190,1,Country,English,61
2022,Sweetest Pie,9,201,1,Pop,English,62
2022,Provenza,16,210,1,LatinPop,Spanish,63
2022,Essence,17,263,1,AfroPop,"English, Yoruba",64
2022,All I Want For Christmas Is You,5,241,1,Pop,English,65
2022,Bam Bam,0,206,1,Pop,English,66
2022,5 Foot 9,8,190,1,Country,English,67
2022,Get Into It (Yuh),8,138,1,Pop,English,68
2022,Efecto,9,213,1,LatinPop,Spanish,69
2022,Rock And A Hard Place,12,208,1,Country,English,70
2022,Doin' This,9,254,1,Country,English,71
2022,Oh My God,10,225,1,Pop,English,72
2022,Better Days,8,161,1,Pop,English,73
2022,Meet Me At Our Spot,18,163,1,Pop,English,74
2022,Fingers Crossed,0,175,1,Pop,English,75
2022,All Too Well (Taylo's Version),22,613,1,Pop,English,76
2022,Party,9,228,1,LatinPop,Spanish,77
2022,Despues de La Playa,12,230,1,LatinPop,Spanish,78
2022,You Should Probably Leave,11,213,1,Country,English,79
2022,Rockin' Around The Christmas Tree,6,126,1,Pop,English,80
2022,Broadway Girls,0,186,1,Hiphop,English,81
2022,Take My Name,0,158,1,Country,English,82
2022,What Happened To Virgil,12,181,1,Hiphop,English,83
2022,Puffin On Zootiez,1,173,1,Hiphop,English,84
2022,Like I Love Country Music,11,235,1,Country,English,85
2022,Jingle Bell Rock,7,131,1,Pop,English,86
2022,Ojitos Lindos,10,258,1,LatinPop,Spanish,87
2022,Trouble With A Heartbreak,13,196,1,Country,English,88
2022,A Holly Jolly Christmas,12,136,1,Pop,English,89
2022,Kiss Me More,7,209,1,Pop,English,90
2022,She Likes It,6,163,1,Country,English,91
2022,Never Say Never,13,176,1,Country,English,92
2022,Damn Strait,16,230,1,Country,English,93
2022,She's All I Wanna Be,10,207,1,Pop,English,94
2022,Last Night Lonely,9,182,1,Country,English,95
2022,Flower Shops,9,214,1,Country,English,96
2022,To The Moon!,31,152,1,Hiphop,English,97
2022,Unholy,21,157,1,Pop,English,98
2022,One Mississippi,8,214,1,Country,English,99
2022,Circles Around This Town,17,196,1,Country,English,100
